variable,iqr_outliers_number,number_of_nonmissing,rule_used,action_performed
anti_tg_IU_mL,299,936,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (IG_P)",118,901,1.5xIQR,flag_only
Anty-TPO (ATA_TPO),114,1043,1.5xIQR,flag_only
P/c antytyreoglobulinowe (anty-Tg) (ANTYTG2),109,682,1.5xIQR,flag_only
Kortyzol godz. 23:00 (KOR23),86,1167,1.5xIQR,flag_only
17ohp_baseline_ng_ml,74,1177,1.5xIQR,flag_only
lh_iu_l,73,1213,1.5xIQR,flag_only
LH (LH),73,1168,1.5xIQR,flag_only
insulin_fasting_uU_ml,68,1156,1.5xIQR,flag_only
testosterone_free_nmol_L,62,1115,1.5xIQR,flag_only
androstenedione_ng_ml,57,1126,1.5xIQR,flag_only
17 - OH progesteron (L79) (17-OHPG),54,965,1.5xIQR,flag_only
prolactin_ng_ml,54,1210,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (EOS#)",50,901,1.5xIQR,flag_only
Testosteron wolny (O41) (TEST-F),49,926,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (IG_B)",49,901,1.5xIQR,flag_only
PRL godz. 10:00 (PRL10),48,1165,1.5xIQR,flag_only
Triglicerydy (TG),47,1169,1.5xIQR,flag_only
Insulina (INSUL),44,744,1.5xIQR,flag_only
Krzywa cukrowa - 2 punktowa (GLU120),43,1149,1.5xIQR,flag_only
rdw_percent,43,990,1.5xIQR,flag_only
Anty-TG (p/c przeciw tyreoglobulinie) (ATG),42,254,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (EOS)",39,901,1.5xIQR,flag_only
TSH (TSH),38,1168,1.5xIQR,flag_only
Androstendion (ANDRO),37,682,1.5xIQR,flag_only
tsh_uIU_mL,37,1213,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (RDW)",35,901,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MCH)",33,901,1.5xIQR,flag_only
SHBG (L_SHGB),31,1166,1.5xIQR,flag_only
AMH_ng_ml,30,1168,1.5xIQR,flag_only
shbg_nmol_l,29,1211,1.5xIQR,flag_only
fsh_iu_l,29,1213,1.5xIQR,flag_only
Kortyzol po Dexamethasonie [2mg] (KOR2DXM),28,537,1.5xIQR,flag_only
wbc_10_3_uL,28,990,1.5xIQR,flag_only
testosterone_ng_ml,28,1212,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (BASO)",28,901,1.5xIQR,flag_only
Testosteron (L_TESTOS),27,1167,1.5xIQR,flag_only
FSH (FSH),26,1168,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (NEUT#)",25,901,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (WBC)",25,901,1.5xIQR,flag_only
neutrophils_abs_10_3_uL,25,946,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (RDWSD)",23,901,1.5xIQR,flag_only
AMH (hormon anty-Mullerowski) (AMH_CP),23,976,1.5xIQR,flag_only
Krzywa cukrowa - 2 punktowa (L_GLU_0),23,1150,1.5xIQR,flag_only
Kortyzol po Dexamethasonie [1mg] (KORD),23,400,1.5xIQR,flag_only
mch_pg,23,945,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (BASOB)",23,901,1.5xIQR,flag_only
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MON#)",22,901,1.5xIQR,flag_only
dheas_ug_dL,22,1216,1.5xIQR,flag_only
